S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,67,368.00,359.00,359.00,6793.00,2451873.00,367.00,-8.00
2,Ankhu Khola Jalvidhyut Company Ltd,18,59.00,58.00,58.00,520.00,30240.00,57.00,1.00
3,Api Power Company Ltd.,25,110.00,106.00,108.00,5164.00,549866.00,110.00,-2.00
4,Arun Kabeli Power Ltd.,49,114.00,111.00,114.00,26330.00,2958023.00,112.00,2.00
5,Arun Valley Hydropower Development Co. Ltd.,6,94.00,92.00,92.00,1640.00,151890.00,94.00,-2.00
6,Asha Laghubitta Bittiya Sanstha Ltd,76,514.00,492.00,497.00,4466.00,2234866.00,496.00,1.00
7,Asian Life Insurance Co. Limited,52,384.00,375.00,379.00,9598.00,3639640.00,378.00,1.00
8,Bank of Kathmandu Ltd.,127,215.00,211.00,214.00,39203.00,8331307.00,215.00,-1.00
9,Barun Hydropower Co. Ltd.,4,84.00,82.00,82.00,310.00,25820.00,85.00,-3.00
10,Best Finance Company Ltd.,8,85.00,84.00,85.00,1855.00,156695.00,85.00,0.00
11,Bishal Bazar Company Limited,11,1921.00,1846.00,1882.00,150.00,280450.00,1960.00,-78.00
12,Bottlers Nepal (Terai) Limited,4,6150.00,6125.00,6150.00,50.00,306740.00,6075.00,75.00
13,Butwal Power Company Limited,60,303.00,300.00,302.00,6109.00,1841948.00,302.00,0.00
14,Central Finance Co. Ltd.,7,119.00,117.00,117.00,844.00,99376.00,118.00,-1.00
15,Century Commercial Bank Ltd.,53,166.00,164.00,165.00,11025.00,1818874.00,164.00,1.00
16,Chhimek Laghubitta Bikas Bank Limited,35,815.00,805.00,810.00,4100.00,3319758.00,806.00,4.00
17,Chhyangdi Hydropower Ltd.,5,87.00,86.00,87.00,77.00,6656.00,87.00,0.00
18,Chilime Hydropower Company Limited,16,362.00,357.00,359.00,4191.00,1510407.00,357.00,2.00
19,Citizen Bank International Limited,45,183.00,181.00,181.00,5731.00,1040810.00,183.00,-2.00
20,Citizen Investment Trust,71,2101.00,2062.00,2077.00,6801.00,14132581.00,2104.00,-27.00
